Date,SPY,QQQ,IWM,TLT,GLD
2004-01-02,73.64419555664062,30.650188446044922,41.70136260986328,39.80625534057617,
2004-01-05,74.44530487060547,31.26555633544922,42.18918228149414,39.70252227783203,
2004-01-06,74.51811981201172,31.476276397705078,42.1333122253418,40.14094924926758,
2004-01-07,74.76972198486328,31.76289176940918,42.580169677734375,40.301239013671875,
2004-01-08,75.06761932373047,32.01579284667969,42.904117584228516,40.28706359863281,
2004-01-09,74.41220092773438,31.805034637451172,42.5615348815918,40.9894905090332,
2004-01-12,74.96173858642578,32.31084060668945,43.358421325683594,40.956520080566406,
2004-01-13,74.52474975585938,31.990489959716797,43.17595672607422,41.234619140625,
2004-01-14,75.14710235595703,32.1000862121582,43.39936447143555,41.43735122680664,
2004-01-15,75.33251953125,32.18437957763672,43.51108169555664,41.59288024902344,
2004-01-16,75.63040924072266,32.51314926147461,43.753116607666016,41.300636291503906,
2004-01-20,75.61054992675781,32.48784255981445,44.27815246582031,41.29117965698242,
2004-01-21,76.20645141601562,32.35297393798828,44.21855545043945,41.39020538330078,
2004-01-22,76.0078125,32.15909957885742,43.969093322753906,41.691917419433594,
2004-01-23,75.76282501220703,32.041080474853516,44.207420349121094,41.19219207763672,
2004-01-26,76.71624755859375,32.529998779296875,44.64677810668945,40.942359924316406,
2004-01-27,75.92838287353516,31.813474655151367,44.08824920654297,41.19691467285156,
2004-01-28,75.06102752685547,31.27397918701172,43.39936447143555,40.83391189575195,
2004-01-29,75.13385772705078,31.391992568969727,42.98978042602539,40.74907684326172,
2004-01-30,75.13385772705078,31.248674392700195,43.04560852050781,41.031925201416016,
2004-02-02,75.45829772949219,31.164398193359375,43.1573486328125,40.94578170776367,
2004-02-03,75.33251953125,31.130659103393555,42.9152717590332,41.15407943725586,
2004-02-04,74.71672821044922,30.624893188476562,41.85404586791992,41.07359313964844,
2004-02-05,74.93522644042969,30.742919921875,42.24502944946289,40.91264343261719,
2004-02-06,75.77607727050781,31.29926300048828,43.313724517822266,41.36232376098633,
2004-02-09,75.79594421386719,31.29083251953125,43.39936447143555,41.48542022705078,
2004-02-10,76.04093170166016,31.34140396118164,43.92067337036133,41.25345230102539,
2004-02-11,76.84866333007812,31.678617477416992,44.188777923583984,41.5611572265625,
2004-02-12,76.57062530517578,31.400421142578125,43.887168884277344,41.385990142822266,
2004-02-13,76.22632598876953,31.139102935791016,43.43660354614258,41.5611572265625,
2004-02-17,76.9148941040039,31.56056785583496,44.19995880126953,41.532737731933594,
2004-02-18,76.57720184326172,31.653305053710938,43.87599182128906,41.58957290649414,
2004-02-19,76.29255676269531,31.172805786132812,43.101470947265625,41.63214874267578,
2004-02-20,76.0607681274414,31.071666717529297,43.0269889831543,41.343406677246094,
2004-02-23,75.86878967285156,30.726055145263672,42.37908935546875,41.59904479980469,
2004-02-24,75.73634338378906,30.650188446044922,42.37535858154297,41.67475891113281,
2004-02-25,76.05418395996094,30.83563995361328,42.97114944458008,41.741065979003906,
2004-02-26,76.10050201416016,30.91150665283203,43.231788635253906,41.608482360839844,
2004-02-27,76.15347290039062,30.827199935913086,43.45522689819336,41.96825408935547,
2004-03-01,76.90824890136719,31.231834411621094,44.144100189208984,41.95208740234375,
2004-03-02,76.45804595947266,30.869348526000977,43.794071197509766,41.685935974121094,
2004-03-03,76.5970687866211,30.70077133178711,43.8387565612793,41.60986328125,
2004-03-04,76.79570770263672,30.987356185913086,44.39358901977539,41.79524612426758,
2004-03-05,77.05390930175781,30.877779006958008,44.494144439697266,42.60319519042969,
2004-03-08,76.11375427246094,30.15284538269043,43.86482238769531,42.85508728027344,
2004-03-09,75.8091812133789,30.06011199951172,43.492462158203125,43.14027786254883,
2004-03-10,74.53799438476562,29.663925170898438,42.580169677734375,43.11173629760742,
2004-03-11,73.57137298583984,29.3941650390625,42.15194320678711,43.17354965209961,
2004-03-12,74.53799438476562,29.93366241455078,43.28765106201172,42.907405853271484,
2004-03-15,73.6242904663086,29.411026000976562,42.170562744140625,42.978660583496094,
2004-03-16,74.01493072509766,29.461618423461914,42.18918228149414,43.3350830078125,
2004-03-17,74.84254455566406,29.925247192382812,42.97114944458008,43.2638053894043,
2004-03-18,74.86238861083984,29.790363311767578,42.710479736328125,43.035675048828125,
2004-03-19,73.78938293457031,29.29302215576172,42.33812713623047,42.978660583496094,
